Sales_Key,Order_ID,Order_Line_ID,Order_Date,Year,Quarter,Month,Month_Name,Region,Country,State,City,Product,Category,Sub_Category,Unit_Cost,Unit_Price,Customer,Segment,Customer_Rating,Customer_Key,Salesperson,Salesperson_Key,Channel,Quantity,Sales_Amount,Discount_Amount,Cost_Amount,Profit_Amount,Shipping_Cost,Net_Revenue,Payment_Mode,Is_Returned
16,ORD-2025-000012,1,2025-04-02,2025,Q2,4,April,North,India,Delhi,New Delhi,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Megan Grant,Corporate,3.2,5310,Alison Miller,19.0,Retail Store,1,3297.3,0.0,2505.94,791.36,19.21,3297.3,COD,0
1524,ORD-2024-001008,1,2024-01-06,2024,Q1,1,January,South,India,Karnataka,Bengaluru,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Philip Powell,Consumer,3.6,3633,,,Marketplace,4,13291.14,2100.47,10023.76,1166.91,21.2,11190.67,Credit Card,0
13098,ORD-2023-008346,1,2023-04-13,2023,Q2,4,April,South,India,Tamil Nadu,Chennai,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Joseph Acosta,Consumer,4.8,2727,,,Online,1,3315.14,1004.72,2505.94,-195.52,19.18,2310.42,UPI,0
16972,ORD-2022-010809,1,2022-12-26,2022,Q4,12,December,South,India,Karnataka,Bengaluru,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,David Oconnell,Consumer,4.4,7513,,,Online,1,3391.31,480.46,2505.94,404.91,22.21,2910.85,UPI,0
20280,ORD-2025-012953,1,2025-09-25,2025,Q3,9,September,South,India,Tamil Nadu,Chennai,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Andrew Harris,Consumer,3.7,3173,Olivia Russell,16.0,Retail Store,1,3295.37,203.95,2505.94,585.48,25.15,3091.42,Net Banking,0
20403,ORD-2023-013030,1,2023-08-21,2023,Q3,8,August,East,India,Jharkhand,Ranchi,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Mary Delacruz,Consumer,4.0,6067,,,Marketplace,4,13630.4,1660.16,10023.76,1946.48,69.38,11970.24,COD,0
21627,ORD-2022-013791,1,2022-08-18,2022,Q3,8,August,North,India,Haryana,Gurugram,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Donald Smith,Consumer,3.6,4145,,,Marketplace,1,3368.43,420.89,2505.94,441.6,66.31,2947.54,Credit Card,1
22385,ORD-2025-014278,1,2025-04-10,2025,Q2,4,April,South,India,Telangana,Hyderabad,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Melissa Patrick,Consumer,4.4,4431,Jared Spence,78.0,Online,1,3377.36,224.28,2505.94,647.14,29.38,3153.08,Net Banking,0
27489,ORD-2023-017488,4,2023-09-22,2023,Q3,9,September,South,India,Kerala,Kochi,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Jill Ray,Corporate,3.7,2580,,,Online,2,6724.36,594.16,5011.88,1118.32,60.57,6130.2,Net Banking,0
35575,ORD-2024-022685,1,2024-04-22,2024,Q2,4,April,South,India,Kerala,Kochi,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Dr. Steve James,Corporate,4.4,1254,,,Online,1,3417.4,236.02,2505.94,675.44,76.48,3181.38,UPI,1
